País,Contaminacion_aire,Exp_plomo,Muertes_agua,Pesticidas,Precipitaciones
Cambodia,2.579782,665.6298,793.3348,17390.37,1828.9294
China,7.1866364,458.91144,2380.8706,233876.05,827.3098
Indonesia,2.9778376,639.6052,33702.586,283297.12,3506.876
Laos,4.1519833,852.68396,571.4787,187.31,1848.1522
Malaysia,2.090159,301.38852,532.3118,45671.0,3160.4644
Myanmar,7.745971,657.0027,3801.7,11748.89,2067.3928
Papua New Guinea,0.07248331,296.9616,2231.326,1175.17,4314.6807
Philippines,0.17099167,423.95337,4750.216,37660.36,3117.8364
Samoa,1.6399639,236.4416,4.2251472,272.15,2666.1006
Solomon Islands,0.023011552,672.9419,48.00437,39.65,4375.5884
Thailand,2.0694382,128.7159,4700.6655,8745.25,1728.956
Vanuatu,0.5430955,545.57825,26.11893,15.78,2590.586
Vietnam,2.2849438,399.28336,883.54266,148668.67,2075.221
Azerbaijan,1.7794031,353.49854,98.64873,542.82,461.43893
Georgia,1.3108445,499.3634,2.9770522,2485.1,1309.454
Kazakhstan,3.7545853,232.45064,20.90864,18323.6,277.17856
Kiribati,6.2221065,311.93912,27.562164,32.6,539.01575
Kyrgyzstan,4.2210145,401.83533,33.46524,608.0,821.6997
Mongolia,1.487863,421.39554,16.173885,5114.8,306.3974
Sri Lanka,3.6152382,184.13957,536.10913,2777.7,1973.153
Tajikistan,3.8829222,559.98724,764.55536,570.25,602.12244
East Timor,1.7795753,796.0813,109.64855,138.26,2112.871
Turkmenistan,1.1051812,420.2075,27.763254,1255.2,94.53923
Armenia,2.264501,266.62408,2.0748687,914.03,761.6481
Fiji,0.38150686,224.60007,86.012695,612.34,2851.4392
Albania,0.5933416,298.68884,7.837733,433.3,1582.394
Czechia,1.6327243,105.90344,100.004616,4479.84,880.7241
Hungary,2.1753864,206.86623,73.84984,8878.59,625.41846
Montenegro,0.62196225,254.66252,0.1588547,110.69,1749.032
North Macedonia,0.6995794,403.33508,8.967159,98.0,912.7204
Bulgaria,0.877371,494.3837,34.4442,4481.58,885.5427
Croatia,2.1619835,166.19066,18.283289,1469.65,1059.5958
Romania,0.31173155,279.2089,161.72968,8369.18,820.9482
Bosnia and Herzegovina,1.5376102,329.20108,9.076801,2723.4,1266.5728
Serbia,0.65176404,272.4166,20.257597,2266.91,821.3517
Belarus,0.3019003,283.93698,4.3757954,4117.78,792.92
Estonia,0.1901441,162.21346,0.46720752,885.92,758.8912
Latvia,0.24607687,166.3286,0.7893696,1984.43,785.1434
Poland,0.87785554,183.64568,290.7902,26949.22,813.2423
Moldova,0.50516033,302.1988,7.1595335,5166.75,627.96576
Russia,0.47485495,207.93044,131.46239,97018.45,587.5226
Slovakia,0.8030089,172.16663,4.474499,1620.0,828.6315
Slovenia,1.5175254,70.1858,4.9976473,907.19,1283.7775
Andorra,1.8018036,52.287903,0.0037068508,17.3,935.5659
Australia,0.30645606,87.49931,28.572466,59634.0,476.0161
Austria,1.6432282,81.569016,5.838471,5790.56,1247.4596
Belgium,1.2079145,104.50203,32.459236,5575.94,1102.3695
Brunei,0.39755654,185.34706,0.34068984,288.69,3369.9229
Cyprus,3.597214,172.52719,1.9227827,1104.02,300.84076
Denmark,1.6572753,56.231777,11.729352,2974.53,821.4956
Ireland,0.15056528,68.44124,1.3069277,3090.94,1103.3082
Israel,1.5694212,53.90672,12.92909,6983.0,164.17506
Italy,2.1350012,110.78336,97.77791,50177.3,990.3465
Japan,0.5440833,40.21622,456.09146,48783.0,1965.7185
Lithuania,0.2148599,147.30397,3.5753098,2612.9,822.31116
Luxembourg,1.3308094,59.935997,0.65750074,129.7,1084.051
New Zealand,0.4195744,106.02039,12.859349,5285.2,1646.1963
South Korea,2.20323,90.42523,139.13666,19014.0,1231.0989
Ukraine,0.4801476,215.91557,15.891642,26974.0,717.214
Finland,0.18233627,55.139652,3.0906427,4099.76,773.20557
France,0.6636257,64.76011,61.07749,69697.52,1272.5216
Germany,1.2405633,65.185234,87.83112,48712.16,988.0402
Greece,1.433775,171.30447,2.6891315,4711.8,900.7059
Iceland,0.63382787,62.67418,0.1334811,1.35,1337.8298
Netherlands,1.4065689,55.8275,13.615331,9346.73,1005.31604
Norway,0.63661855,52.21204,9.494911,710.0,1134.8695
Portugal,0.95477813,147.16626,17.56546,9583.2,734.0534
Spain,2.4069355,118.20587,55.81742,76173.56,661.6397
Sweden,0.41206414,49.79437,24.634127,2137.9,810.0703
Switzerland,1.2404749,71.06094,6.2997894,2219.93,1713.7345
Antigua and Barbuda,0.0008562899,332.3973,0.7545274,250.94,626.03186
Argentina,0.9815333,140.98857,219.055,241519.98,606.77686
Bahamas,0.36078987,274.91766,2.0114696,178.05,623.9219
Belize,1.0403091,271.38293,6.712676,1123.03,1328.5901
Canada,0.89223635,59.354424,63.769382,97692.0,688.2655
Chile,0.54064375,66.66258,57.96433,16996.83,1268.5481
Cuba,0.6456112,376.7464,149.35968,2666.02,775.4934
United Kingdom,0.3881125,62.81086,28.807419,14794.06,1062.8793
United States,2.215381,114.992676,406.09113,433770.9,834.5193
Uruguay,0.7758184,187.52585,27.083086,16446.12,1052.4509
Dominican Republic,0.352938,628.5986,429.86258,2573.62,925.57385
Jamaica,0.81051135,408.42532,56.686287,1641.61,937.0941
Saint Vincent and the Grenadines,0.01149241,678.21075,2.2819254,137.06,876.6985
Suriname,0.05890681,454.41153,24.353745,906.97,2836.4822
Bolivia,1.9159045,399.36374,280.34274,18306.98,1476.1405
Colombia,0.6423592,183.7082,524.94434,39324.0,3333.516
Costa Rica,0.6244571,189.29597,29.894249,9172.33,3247.5867
Ecuador,0.5157121,204.56923,97.64627,1655.79,3302.6785
El Salvador,1.2353954,456.19498,157.12941,3793.4,1496.6857
Guatemala,0.61696595,479.23047,1574.353,13227.52,1656.5806
Haiti,1.8529506,1373.9156,3347.3682,864.27,825.41223
Honduras,2.413788,953.241,581.49634,10533.17,1417.3527
Peru,0.43185708,165.1409,367.47958,11583.25,2224.197
Trinidad and Tobago,0.07193752,184.07483,14.980979,1173.0,1652.8832
Algeria,3.2868474,657.8085,194.33035,6067.35,47.64252
Brazil,1.9201739,242.46474,2790.0347,719507.0,1769.5098
Mexico,2.1443577,325.27673,1872.3151,19767.32,833.01904
Nicaragua,0.6423987,343.24966,135.86537,13709.8,1554.0259
Panama,0.5914607,209.45068,72.063995,979.97,3312.5808
Paraguay,1.3607289,287.97458,64.88584,25086.22,1007.79236
Venezuela,0.7423039,479.30606,683.9297,3928.0,2249.8242
Bahrain,7.2438536,338.1105,2.781247,30.24,15.219688
Egypt,3.3692214,1728.5693,1103.032,10545.47,10.798695
Iran,2.912751,716.09827,238.31381,5855.93,171.44714
Iraq,1.9798177,782.5429,277.29852,324.08,92.53169
Jordan,1.5307152,406.78122,30.261837,401.34,48.27209
Kuwait,0.52327454,219.15132,2.1613564,1410.99,51.37932
Lebanon,2.2116387,203.3838,64.087135,1816.0,547.7774
Libya,2.9565282,560.9275,36.338287,1721.37,10.937752
Morocco,3.1879318,707.6658,538.28143,13697.0,229.52098
Oman,1.8837498,503.91364,14.173906,284.25,28.023525
Palestine,2.287698,761.17065,13.204723,1348.14,239.79932
Qatar,2.8359382,186.67668,1.8190325,1152.85,10.249409
Saudi Arabia,3.89739,729.7557,128.44937,7255.65,34.70227
Syria,3.4913855,1029.0352,37.05794,1897.26,123.44877
Tunisia,2.480206,570.53033,61.132248,3299.07,129.66103
Turkey,4.702077,292.26926,400.76114,52875.64,651.0258
Yemen,3.6577792,1736.2506,1172.5994,1504.08,144.84229
Angola,2.2393265,630.8428,5885.0596,40.0,972.6797
Bangladesh,12.606487,711.75287,23017.13,15506.47,1985.977
Bhutan,14.293762,628.9921,55.459145,173.87,3223.0347
India,24.144508,681.47504,338521.16,40093.69,1241.8716
Nepal,32.250168,866.85046,3044.1196,783.14,2583.3313
Pakistan,15.422959,835.653,28947.299,26702.0,289.48352
Burundi,4.0991306,648.69867,3828.74,50.26,1902.2561
Central African Republic,8.370158,1076.022,3359.4648,203.89,962.16376
Congo,3.8535864,527.71686,745.14606,831.39,1447.9354
Democratic Republic of Congo,5.462971,692.6668,11687.791,952.85,1373.9222
Equatorial Guinea,2.378285,456.5636,76.465096,78.25,2979.689
Gabon,1.3408467,427.4083,113.31376,1130.41,2158.9998
Comoros,0.66932684,465.07855,107.30909,37.41,1175.6948
Djibouti,2.0475955,544.5383,158.13489,18.41,187.95984
Eritrea,3.0657523,693.4161,1942.4244,27.63,223.78188
Ethiopia,2.5562718,573.97235,28203.396,4128.1,822.3942
Kenya,2.470929,366.53195,9012.014,5464.5,494.3296
Madagascar,2.468034,792.6202,11158.37,701.11,1137.4299
Malawi,1.7012776,642.7977,5303.3345,1420.24,1277.8713
Mauritius,0.0020476624,240.83267,11.99801,705.3,959.35974
Mozambique,1.2973617,1022.70807,6627.9214,2932.57,828.876
Rwanda,4.1914845,513.43396,1898.7156,2027.03,1421.5497
Seychelles,0.5623927,225.05032,2.5156372,121.21,1538.9386
Somalia,2.6376116,1196.0887,12943.958,746.83,162.076
Uganda,2.6843226,476.45813,6584.1147,6015.66,1248.4315
Tanzania,1.3216771,388.64062,13097.002,1.0,902.3797
Zambia,2.3767135,681.92993,3561.2278,4196.64,1050.0146
Botswana,2.4445958,493.78125,475.11423,1386.49,612.2657
Lesotho,5.375629,1043.5192,1006.8008,239.53,1227.0725
Namibia,4.249396,550.30804,542.85254,1163.02,438.54782
South Africa,2.0596907,331.90683,9139.857,42620.17,627.26984
Eswatini,3.3228204,746.60596,277.45337,1344.6,1018.4811
Zimbabwe,2.1103144,709.6539,3834.5771,2185.07,788.9817
Benin,3.5340676,480.8534,3195.6445,5048.59,848.2647
Burkina Faso,2.0778573,838.266,8883.928,3037.82,474.56122
Cape Verde,1.0140328,374.06363,34.1964,5.0,142.82065
Cameroon,3.329984,680.20734,5482.964,9905.76,1606.4899
Chad,3.358661,994.483,20310.44,50.31,204.6311
Cote d'Ivoire,2.4155564,619.327,4296.479,22.87,1263.7095
Gambia,2.725313,807.5773,359.5643,261.45,743.11774
Ghana,1.8392293,456.96262,4317.2427,9689.5,1057.191
Guinea,2.9154692,814.5802,3264.181,110.5,1620.3524
Guinea-Bissau,3.2800007,1048.2961,440.0324,82.0,1273.9484
Liberia,2.1070154,748.7032,1306.7832,1019.11,2553.5044
Mali,4.316673,703.67,6532.8403,3.75,189.6882
Mauritania,1.3710803,436.50876,525.8403,420.98,33.910088
Niger,3.2814448,811.7352,12630.462,34.79,53.871117
Nigeria,2.7397451,351.1755,98102.15,57638.02,888.83246
Sao Tome and Principe,4.415653,480.3394,10.550467,24.65,1550.5171
Senegal,2.158583,525.7525,1924.2212,576.08,462.9676
Sierra Leone,2.022849,681.09,2544.8188,360.95,2654.2778
Togo,4.0861135,629.9448,2289.433,1425.0,1074.5521
Cook Islands,0.58814925,131.94354,0.36435965,14.93,1881.7396
Greenland,1.5601676,106.91559,0.048418853,8.61,475.92148
Sudan,2.822252,1209.9124,1413.7561,4082.53,134.85393
