País,Parkinson_Predicho_Promedio,Parkinson_Real,Error_Absoluto
Cambodia,36.25,47.48,11.229999999999997
China,189.75,356.85,167.10000000000002
Indonesia,45.75,58.05,12.299999999999997
Laos,31.85,40.36,8.509999999999998
Malaysia,55.67,75.38,19.709999999999994
Myanmar,41.87,59.02,17.150000000000006
Papua New Guinea,28.09,29.5,1.4100000000000001
Philippines,37.51,47.75,10.240000000000002
Samoa,47.67,57.25,9.579999999999998
Solomon Islands,31.06,35.97,4.91
Thailand,90.22,147.7,57.47999999999999
Vanuatu,36.12,41.54,5.420000000000002
Azerbaijan,58.25,69.9,11.650000000000006
Georgia,111.34,127.08,15.739999999999995
Kazakhstan,66.3,78.33,12.030000000000001
Kiribati,36.74,41.0,4.259999999999998
Kyrgyzstan,42.0,41.47,-0.5300000000000011
Mongolia,32.35,38.27,5.920000000000002
Sri Lanka,75.89,109.55,33.66
Tajikistan,39.98,43.44,3.460000000000001
East Timor,29.52,42.34,12.820000000000004
Turkmenistan,35.39,44.57,9.18
Armenia,83.57,113.79,30.220000000000013
Fiji,48.57,63.73,15.159999999999997
Albania,106.3,169.55,63.250000000000014
Czechia,174.52,209.97,35.44999999999999
Hungary,156.48,187.72,31.24000000000001
Montenegro,137.19,162.53,25.340000000000003
North Macedonia,113.85,152.84,38.99000000000001
Bulgaria,232.55,223.84,-8.710000000000008
Croatia,167.68,232.2,64.51999999999998
Romania,144.65,187.52,42.870000000000005
Bosnia and Herzegovina,148.72,191.92,43.19999999999999
Serbia,145.63,186.72,41.09
Belarus,157.16,183.76,26.599999999999994
Estonia,203.71,228.03,24.319999999999993
Latvia,184.64,216.22,31.580000000000013
Poland,157.24,205.36,48.120000000000005
Moldova,108.89,132.72,23.83
Russia,124.61,152.19,27.58
Slovakia,121.95,155.8,33.85000000000001
Slovenia,186.36,234.27,47.91
Andorra,199.77,258.64,58.869999999999976
Australia,126.2,170.08,43.88000000000001
Austria,330.13,329.19,-0.9399999999999977
Belgium,259.7,317.54,57.84000000000003
Brunei,42.0,64.28,22.28
Cyprus,178.83,244.58,65.75
Denmark,223.84,301.57,77.72999999999999
Ireland,205.2,259.37,54.170000000000016
Israel,216.45,273.87,57.420000000000016
Italy,303.97,312.46,8.489999999999952
Japan,143.48,159.6,16.120000000000005
Lithuania,163.2,209.03,45.83000000000001
Luxembourg,233.44,271.07,37.629999999999995
New Zealand,3443.51,119.43,-3324.0800000000004
South Korea,85.59,164.45,78.85999999999999
Ukraine,155.91,179.87,23.960000000000008
Finland,263.14,389.82,126.68
France,262.47,359.77,97.29999999999995
Germany,399.5,494.18,94.68
Greece,310.92,373.65,62.72999999999996
Iceland,230.38,302.64,72.25999999999999
Netherlands,1538.32,375.04,-1163.28
Norway,137.32,188.11,50.79000000000002
Portugal,216.7,291.42,74.72000000000003
Spain,360.78,430.79,70.01000000000005
Sweden,230.62,285.79,55.170000000000016
Switzerland,265.92,334.0,68.07999999999998
Antigua and Barbuda,71.56,101.12,29.560000000000002
Argentina,118.95,132.04,13.08999999999999
Bahamas,55.97,79.87,23.900000000000006
Belize,38.87,50.25,11.380000000000003
Canada,311.14,403.91,92.77000000000004
Chile,106.76,167.13,60.36999999999999
Cuba,86.65,130.42,43.76999999999998
United Kingdom,266.68,292.4,25.71999999999997
United States,171.52,208.01,36.48999999999998
Uruguay,156.04,204.99,48.95000000000002
Dominican Republic,46.71,65.79,19.080000000000005
Jamaica,59.29,81.83,22.54
Saint Vincent and the Grenadines,55.27,86.99,31.71999999999999
Suriname,51.64,69.75,18.11
Bolivia,81.33,118.78,37.45
Colombia,67.44,109.92,42.480000000000004
Costa Rica,76.47,124.69,48.22
Ecuador,84.36,138.35,53.989999999999995
El Salvador,63.6,98.41,34.809999999999995
Guatemala,37.12,56.62,19.5
Haiti,28.76,33.48,4.719999999999995
Honduras,49.14,65.91,16.769999999999996
Peru,98.12,147.89,49.76999999999998
Trinidad and Tobago,63.05,94.89,31.840000000000003
Algeria,47.02,68.65,21.630000000000003
Brazil,69.34,101.65,32.31
Mexico,56.92,95.03,38.11
Nicaragua,51.12,77.36,26.240000000000002
Panama,78.23,112.55,34.31999999999999
Paraguay,52.47,69.57,17.099999999999994
Bahrain,32.43,49.45,17.020000000000003
Egypt,46.25,62.74,16.490000000000002
Iran,52.71,84.64,31.93
Iraq,32.96,45.81,12.850000000000001
Jordan,24.94,37.32,12.379999999999999
Kuwait,36.39,50.0,13.61
Lebanon,72.28,105.79,33.510000000000005
Libya,44.67,61.4,16.729999999999997
Morocco,63.69,81.64,17.950000000000003
Oman,33.53,43.01,9.479999999999997
Palestine,30.98,41.24,10.260000000000002
Qatar,25.86,32.12,6.259999999999998
Saudi Arabia,33.17,46.74,13.57
Syria,43.21,75.6,32.38999999999999
Tunisia,62.82,101.14,38.32
Turkey,62.73,104.53,41.800000000000004
Angola,16.97,18.66,1.6900000000000013
Bangladesh,45.48,67.79,22.31000000000001
Bhutan,44.7,71.59,26.89
India,57.88,73.61,15.729999999999997
Nepal,41.32,57.62,16.299999999999997
Pakistan,35.38,39.9,4.519999999999996
Burundi,18.64,17.64,-1.0
Central African Republic,17.3,18.6,1.3000000000000007
Congo,27.56,29.16,1.6000000000000014
Democratic Republic of Congo,19.73,20.06,0.3299999999999983
Equatorial Guinea,21.07,21.59,0.5199999999999996
Gabon,37.61,39.21,1.6000000000000014
Comoros,26.48,35.4,8.919999999999998
Djibouti,20.11,24.93,4.82
Eritrea,16.65,20.29,3.6400000000000006
Ethiopia,19.49,21.69,2.200000000000003
Kenya,21.76,24.6,2.84
Madagascar,16.14,16.9,0.759999999999998
Malawi,18.06,18.91,0.8500000000000014
Mauritius,79.06,124.31,45.25
Mozambique,16.94,16.91,-0.030000000000001137
Rwanda,19.08,22.94,3.860000000000003
Seychelles,90.66,106.21,15.549999999999997
Somalia,12.18,11.53,-0.6500000000000004
Uganda,17.16,17.94,0.7800000000000011
Tanzania,20.13,22.94,2.8100000000000023
Botswana,27.67,35.74,8.07
Lesotho,27.24,29.15,1.9100000000000001
Namibia,27.85,32.89,5.039999999999999
South Africa,39.78,48.91,9.129999999999995
Eswatini,22.97,27.19,4.220000000000002
Benin,22.94,23.12,0.17999999999999972
Burkina Faso,24.65,23.68,-0.9699999999999989
Cape Verde,50.68,61.47,10.79
Cameroon,24.03,24.67,0.6400000000000006
Chad,18.76,17.26,-1.5
Cote d'Ivoire,21.58,24.12,2.5400000000000027
Gambia,24.53,26.59,2.0599999999999987
Ghana,23.77,26.83,3.0599999999999987
Guinea,29.11,25.45,-3.66
Guinea-Bissau,19.22,19.04,-0.17999999999999972
Liberia,25.13,21.78,-3.349999999999998
Mali,20.62,18.89,-1.7300000000000004
Mauritania,30.6,31.13,0.5299999999999976
Niger,16.23,16.29,0.05999999999999872
Nigeria,25.51,25.02,-0.490000000000002
Sao Tome and Principe,34.48,36.58,2.1000000000000014
Senegal,28.65,32.42,3.770000000000003
Sierra Leone,23.39,23.91,0.5199999999999996
Togo,21.55,24.02,2.469999999999999
Cook Islands,99.6,153.09,53.49000000000001
Greenland,83.49,123.93,40.44000000000001
Sudan,30.14,34.84,4.700000000000003
